,SizeRank,unemployment_rate,MORTGAGE30US,Avg Income,Prediction,Actual
13662,4992,6.7,3.66,63565.697091273825,233736.19842614693,161041.6667
18972,79,8.1,3.98,81836.94948186529,299500.79824999993,274643.25
38554,2300,5.2,3.85,58683.844011142064,192756.64150894567,167295.7917
9232,8727,10.0,3.66,46641.274238227146,141075.3390501504,137154.1667
15355,618,10.9,3.66,31960.57834898665,230047.29308929868,240939.9583
20268,8682,9.1,3.98,44826.478149100265,149048.95688767897,150950.0
35577,9919,3.6,3.85,49006.276150627615,178525.43547481412,182866.6667
32180,8912,6.9,4.17,72589.97429305912,247050.321916012,212025.0
8301,6124,7.8,3.66,117177.24288840266,1256667.2122725996,1474312.5
53998,9584,4.5,3.65,63183.8905775076,187097.39020619995,143331.25
34292,870,8.2,4.17,61260.43200785469,289689.840904057,274708.9583
30785,7455,11.5,4.17,45402.29885057472,103693.75170995445,85195.83333
46873,8819,4.7,3.65,78918.7643020595,320042.9507236427,296941.6667
18142,1858,5.0,3.98,62797.949002217305,228775.5416342887,224649.1667
53899,8173,6.7,3.65,69083.79373848987,209047.68511480105,172941.6667
17644,9764,5.9,3.98,66299.39209726443,232414.43600667742,208583.8333
636,4167,7.1,4.45,103759.53752725008,580397.6749394699,581200.9583
55910,2025,2.9,3.65,48118.89250814332,395312.20827078883,491737.5
22437,4495,6.4,3.98,40171.47117296223,119883.10203571242,113483.3333
54556,4473,7.6,3.65,46327.31958762887,148296.91255501658,139150.0
20863,4267,10.5,3.98,40048.918640576725,109725.9910297354,108812.5
18165,774,7.7,3.98,68276.42656688494,332460.3404324596,336003.3333
43907,3371,7.1,3.85,46751.67535368578,164679.67318267704,170987.375
20117,719,7.6,3.98,57881.80443548388,229592.3920173586,220816.6667
27948,4404,6.5,4.17,41106.51499482937,160376.62121290405,143854.1667
5367,8546,9.2,4.45,94390.80056179775,426259.6445004026,282399.9167
38473,6813,5.9,3.85,65629.68515742129,212735.12266213907,194487.9167
11368,725,10.9,3.66,40050.44843049326,121621.62929266621,93483.33333
22110,7967,7.4,3.98,100254.62962962964,689260.4748940001,736725.0
20965,3568,5.8,3.98,97011.49425287356,397209.2916922025,357311.2917
6987,218,13.2,4.45,52388.89888449082,187041.3365018002,165700.0
16149,5415,7.2,3.98,55395.24733268671,192006.25968595513,194770.7917
21386,6399,11.5,3.98,40042.048929663615,134522.3451942456,132065.8333
33048,4,5.0,4.17,109508.34879406307,429977.9407615999,372071.875
41368,2981,3.0,3.85,61889.6484375,237595.10211203885,246740.4167
22348,2140,6.2,3.98,64357.461734693876,197067.92622997882,173633.3333
44461,2646,5.1,3.85,83676.4705882353,357213.6918198026,341387.5
9219,1535,8.1,3.66,43502.71002710027,126063.1331770824,119937.5
16483,4901,8.0,3.98,39310.05110732538,133444.602000339,136654.1667
5759,5852,7.3,4.45,57396.44970414201,193783.51124708672,159337.5
51534,4761,5.5,3.65,27978.339350180504,86396.03356312001,79650.0
40979,3665,5.3,3.85,34361.61096829477,57426.58649377404,43536.83333
43856,1480,3.8,3.85,31611.87438665358,111735.61640318707,100246.3571
28501,6867,6.2,4.17,52087.3320537428,249746.30512457248,264862.5
42315,4089,6.2,3.85,79001.39178844815,298041.1258485827,213241.6667
14174,6050,5.2,3.66,36299.8753117207,98731.10206200021,91295.75
10846,2259,9.1,3.66,41947.63271162123,127622.51083034251,126300.0
4510,7629,8.4,4.45,60666.36483371747,182158.00059097027,162550.0
26652,7347,5.7,4.17,82191.05113636362,302199.410800667,249876.6667
46600,4556,5.5,3.65,76918.51265822785,302882.72997627186,303953.625
36197,5885,5.8,3.85,46403.688524590165,220074.836668981,282802.5833
51137,681,6.6,3.65,62529.63489805595,243402.19447245327,183759.875
13953,3917,7.7,3.66,56019.86434108528,175335.41696179385,173716.6667
3096,661,9.4,4.45,37374.37185929648,203638.99926552078,193708.2917
44768,2477,6.8,3.85,63281.25,262090.7825921123,247902.5
7742,8555,10.1,4.45,39757.995981265456,149325.86806845394,127304.375
54576,6203,7.4,3.65,47175.655976676375,172712.16823536262,178062.5
9932,5669,8.9,3.66,37707.75623268698,136934.61568042132,139609.85
21938,8792,8.6,3.98,72765.07276507276,262410.28728201817,240970.7083
16285,4372,8.7,3.98,68958.68113522537,306539.22326303273,319877.0
28217,10236,6.0,4.17,56142.24137931036,231287.20744620173,229720.4167
14887,5783,5.5,3.66,51172.30098146129,222840.9174891289,271991.6667
41109,2442,6.9,3.85,49044.48621553885,125201.58870882269,93205.0
37147,3441,4.1,3.85,61237.22188815394,308732.6745970539,340032.9167
38288,10397,6.1,3.85,63988.09523809524,350231.41878298495,356945.8333
14034,3802,6.9,3.66,87181.44750254841,385981.5844742799,383387.5
43145,7120,5.2,3.85,49814.81481481482,150555.627307526,149337.5
34014,1243,8.3,4.17,24543.65826119684,258247.68026102142,256104.1667
11848,8055,10.1,3.66,41129.032258064515,160974.80972905515,160397.9167
48730,6459,5.2,3.65,33947.36842105263,114314.76743541477,123429.1667
41814,6275,3.3,3.85,101172.37008871992,678089.3133362003,737175.0
6606,6726,7.2,4.45,64445.44634806133,213319.3809280176,210822.375
19349,4510,9.0,3.98,44056.03917301415,138432.9474801132,138115.625
51098,8842,6.5,3.65,53632.47863247863,171204.50165859592,171329.1667
16692,4538,6.7,3.98,85184.08551068883,492492.53216890304,542907.2917
43613,8165,4.1,3.85,48291.015625,156258.32144044805,154345.4545
44480,2793,6.3,3.85,56264.258555133085,216611.72874406606,200302.4167
12689,5892,6.6,3.66,50454.15224913495,159861.83670053052,153750.0
14169,5627,5.2,3.66,40066.66666666666,82355.53328286893,70124.95833
19334,9677,9.2,3.98,35138.24884792627,129637.42321631683,129291.6667
21152,1049,7.4,3.98,50762.41134751774,167410.55297697324,155975.0
19565,3975,9.6,3.98,114309.65147453085,914218.6315684004,629000.0
50997,7141,6.3,3.65,60704.90367775832,208579.54320025418,203795.8333
12612,7455,11.8,3.66,43058.69074492098,98676.18960927127,86530.83333
23190,3039,5.2,3.98,47159.09090909091,156486.83523983016,153691.6667
10471,2048,7.2,3.66,81152.34375,346149.44663547806,330933.25
31497,4407,6.4,4.17,68707.41056218058,233780.49988600434,207124.9583
8350,8708,7.4,3.66,42610.06289308176,150073.74262320672,165050.0
28065,10340,6.8,4.17,39852.94117647059,172324.34466882062,181785.7143
34945,6867,7.7,4.17,40362.39495798319,166923.46869700888,189520.8333
17380,1202,7.0,3.98,38045.112781954886,92914.18658216904,87745.83333
14713,1603,4.6,3.66,81194.55006337135,332006.90159008844,289045.8333
42886,5579,2.2,3.85,61047.18066743383,233433.25918197611,235029.1667
35903,9076,4.7,3.85,93106.22317596569,556657.6136957001,528395.75
37368,8983,4.5,3.85,62142.00477326968,254606.91229566524,246762.5
43649,8055,4.6,3.85,63525.763358778626,246884.5516796547,236820.5833
8015,9675,9.7,3.66,84513.6518771331,481780.1551590026,477341.6667
28271,2833,7.0,4.17,95452.28628230617,438699.30705006927,403249.7917
46576,6484,4.4,3.65,75379.24757281554,324115.25690524676,281724.9583
31502,5277,7.5,4.17,58209.43075615972,210693.62478331977,200439.5833
14790,4664,7.4,3.66,90645.77397910733,483341.03199206,479604.125
55115,7596,4.0,3.65,47119.81566820276,167657.82656655175,171687.5
2784,9237,9.7,4.45,42784.91171749598,136834.47559855293,129316.6667
17136,4838,6.6,3.98,60383.68891947696,251038.86991807018,249699.1667
48216,3317,3.3,3.65,95993.08610936518,495728.5131054226,487073.5417
29593,5786,5.0,4.17,67767.61517615178,376253.44913407177,452779.1667
10284,5539,8.6,3.66,31298.828125,74156.15383657962,73516.66667
6591,10287,7.7,4.45,50175.0,257278.31297663835,273370.8333
33767,743,5.8,4.17,55486.39258830342,192074.44632868958,190929.1667
6834,4248,8.6,4.45,71717.61775362317,219116.95354643386,190705.125
4535,6867,9.8,4.45,39221.645663454416,109458.64579948389,77595.83333
24610,3155,11.7,3.98,62565.963060686016,244159.94507560978,252450.0
52803,7874,5.9,3.65,44027.77777777778,115733.82157525553,116429.1667
55438,44,5.3,3.65,79928.5125103107,300730.3285669986,285020.4583
39605,642,5.5,3.85,46050.466264399336,170321.94000004235,157647.0417
36171,5029,4.3,3.85,77491.22036874451,333027.741734862,321556.25
7192,1925,10.3,4.45,67693.77744824046,336518.1959100652,309140.8333
21250,5584,11.7,3.98,41901.93164933135,121447.76376858557,112965.375
57164,358,10.4,3.65,48809.308221658815,226738.58273319885,221445.8333
6666,6740,10.3,4.45,47414.935925762264,174394.18146330785,173766.6667
51927,2365,6.1,3.65,41639.61038961039,104866.01293427101,79037.41667
36767,8818,5.4,3.85,50410.35353535353,108949.89192925456,94949.88889
